scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,turn,turn,turn,tip,tip,tip
coords,x,y,z,x,y,z
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,47.4463769032085,12.281442126617483,71.98451010124619
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,53.881258662928175,-6.570840745699785,67.32841037459352,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,9.808392854809876,0.26918970700284994,27.24765220310459
67,,,,12.000692573201503,1.2770898635413517,30.283036058355098
68,,,,12.904288844634271,1.72738592279753,24.464911181930827
69,14.896522269122972,2.8125329121554326,30.44666419136384,13.918212262935414,2.7591997161404476,27.885174001282945
70,15.150734576133624,3.5002762418460978,27.966830750311043,14.085250210033813,3.232088653202837,23.962494622437777
71,15.049946441848533,3.773699295087488,27.155300497446195,13.896779493636787,3.4979913796807938,23.135134877987884
72,14.856234337390315,4.220526334761612,26.23969828081469,,,
73,14.445641676590359,4.5623050979409205,25.831202515666256,,,
74,14.177840281818234,4.849797984848523,25.85156620996313,12.813570750710472,4.582196199881666,22.17541441774721
75,13.605670845950934,4.878730413717434,25.426404152396476,12.247060018741124,4.470403299806328,21.14733909837643
76,13.282974291176206,5.006914713516913,25.990194168867614,11.977533121451504,4.536261259539648,21.496553155274345
77,12.887505371504718,4.981499320474906,25.536600369893808,11.721984289653946,4.345325981515701,21.11117853316199
78,12.347563562734466,4.729823629976398,24.62836638531803,11.264862024099395,4.07163351486421,20.62922728402343
79,12.122189950964536,4.486952637932926,24.530231432634597,11.090698222168095,3.7103236252269007,20.47864188131436
80,12.045619894795125,4.330926075582814,24.32214709621412,11.158093317681633,3.5865037797343073,20.47116706075232
81,12.05426197357684,4.161846458577095,24.0670312243231,11.072059517936596,3.2948000568779787,19.71559800687612
82,12.038514864673903,4.096664301086925,23.891178173145267,11.069805042836235,3.2447558244821426,19.674558564081806
83,11.999254499635299,4.009143537568028,23.718704226107075,10.84226737974491,3.183864695778697,19.128524024474412
84,12.003492832176608,4.050077379985985,23.567819062784455,10.736495793088011,3.2033083426881874,19.102901842977623
85,12.00711361666028,4.102253853211197,23.486601174147143,10.698339115082122,3.3169838148196322,19.28028628742709
86,12.00806459165115,4.126681705766103,23.514586420851263,10.615489750684837,3.400605635611548,19.15806642293221
87,12.036622525079087,4.184449112659034,23.5853390683049,10.566094049663178,3.456041975928366,19.202802647506388
88,,,,10.470241810225115,3.5053900013207464,19.196032436665767
89,,,,10.061309987520785,3.4991314507010642,18.787692638555562
90,,,,9.897741346975124,3.435195628903651,18.51350903903226
91,,,,9.7029877410294,3.4089658011557487,18.35467128081841
92,,,,9.496064599012303,3.412192393340394,18.4658477814936
93,11.41229803908816,3.7612345727882777,21.04805442462587,9.293941088058943,3.3948716209570318,18.50663150847014
94,11.177231911695449,3.6163055309670242,20.892961804521267,8.971481870554452,3.2590409680190744,18.24041258643217
95,11.056089259645146,3.596644367575537,21.124466853123806,8.804133452189896,3.2266279438184364,18.454135104332956
96,10.882096171624525,3.514407633638705,20.953334836967656,8.579631675573776,3.1663481622268588,18.377959011944306
97,10.786360543484644,3.4898798316158,21.05133950300057,8.443568225684304,3.1129845604509105,18.276365447936907
98,10.642845643107654,3.42137619522796,20.89015870509683,8.30045539418064,3.0569855618032324,18.099255141850186
99,10.559609573312155,3.393254341018498,20.81566273536246,8.14718239358835,3.0484704783066117,18.126098363656745
100,10.447063403312914,3.2729359232173225,20.76861944610386,8.020461019928808,3.030541206390885,18.13602684518543
101,10.219761659269645,3.0850920857849156,20.40275491026502,7.781602637016155,2.885936122157832,17.73014003545021
102,10.065384213836362,3.0165874679175144,20.2057040595955,7.646078041618787,2.8487817245355607,17.574309291975336
103,9.763447036403457,2.898527686178605,19.717780760902333,7.379637091868598,2.775586737011419,17.19734016873233
104,9.54978051883065,2.8306819623627666,19.611404608896912,7.15256551830576,2.740996298135623,17.11024910463747
105,9.313098833590857,2.825468815598596,19.367854039545904,6.929661543902586,2.6758023861720486,16.918944811754415
106,8.765889016428718,2.8758372659667804,18.950793852390852,6.347481817987907,2.587288281871827,16.477243132883128
107,8.428599727115337,2.82611823123138,18.685936118342124,6.010555959170016,2.546288873566189,16.280672575346294
108,7.984616148010413,2.8158097231319097,18.815426626610385,5.4896404843565385,2.5724493092833205,16.432692841329718
109,7.651557110034338,2.7741039733555515,18.708990914035898,5.122349585671052,2.529692084584021,16.321850742612387
110,6.74972397647321,2.536191562480184,17.654666438941696,4.231482425333308,2.3755022086723674,15.482658887466458
111,6.511245555756934,2.5374934800222992,17.66475247580084,3.9814878538763776,2.3638020398535766,15.523703706753846
112,6.005577533674243,2.4284545195483696,18.156771400026624,3.178266311796603,2.5013030985543576,16.31160217413246
113,5.860410259338326,2.426876780909064,18.194250558312127,3.004309358721843,2.553113177473052,16.495869836952227
114,5.675363521831193,2.427591175771194,18.125334208964638,2.8357395030880617,2.58706948746493,16.562848717374056
115,5.551178713736687,2.450689360037336,18.197586744263152,2.6712012074367784,2.625791123880657,16.646174281367756
116,5.376338789519311,2.461201003713061,18.188058004639203,2.495256029732571,2.6449701330169857,16.633752585843613
117,5.003326295770728,2.4779165883562464,18.087927349167582,2.1001592519073453,2.700817504846704,16.697905860972334
118,4.815580352641826,2.4711276394839183,18.083060357447984,1.8950774092086997,2.720358346847436,16.678897483898893
119,4.311982319621886,2.352151155358159,16.93977291547311,1.5916109683293267,2.6481805696347522,15.719671551056605
120,3.9722179024353346,2.355082897378631,16.99158726361113,1.1724954096524316,2.721959215037391,15.849253551901251
121,3.7326042527746646,2.356604757329958,16.80060624589946,0.9279499754677072,2.7225538360400554,15.756968246038982
122,3.3169945596942103,2.4234217550287016,16.827996067957617,0.45442459628770093,2.8080014751538065,16.0157725272471
123,2.817106872353659,2.3904415165763027,16.826513091060534,-0.08318680992312559,2.784283094916861,15.992903161149034
124,2.5643835041548364,2.3890936023157074,16.929154175278086,-0.37343403839618344,2.7864709049694434,16.08863343348544
125,2.0941797644127687,2.4079811125219965,17.5170731878763,-0.9993551964790975,2.846830171923324,16.612498919505533
126,1.8382689849282603,2.306278777102279,17.40904109417715,-1.278076038094124,2.693931650221639,16.41612745734194
127,1.652879867445757,2.300877305325955,17.615874781783162,,,
128,1.5665118728231953,2.270705294353188,17.821434445922296,-1.655357141464281,2.7373802498667836,16.84774761407797
129,1.4853854671955709,2.2140185041645113,17.920338784180338,-1.9075861851535953,2.7543559580932717,17.13266063249938
130,,,,-1.9372383090580587,2.795413934748913,17.297662115221204
131,1.6252167360069927,2.1515617802191302,17.707905212486907,-1.837507660441732,2.8254231241395886,17.320370940512007
132,1.680051739365943,2.1701018038455464,17.562488814681643,-1.7351227319196,2.8216857132899085,17.09585360423413
133,,,,,,
134,,,,,,
135,1.3517756982594966,2.268785644209942,16.69474704611423,,,
136,1.0448066035154537,2.3981044667369797,17.378721775424573,,,
137,0.8049866586032908,2.477145818068815,17.796908072087447,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,1.1189344924530926,2.686435422264304,18.137073024287343,-2.4797211694535752,3.400862126520571,17.904047927571508
144,1.1810518939708663,2.7439181299738147,18.348414713250023,-2.4720021633688583,3.411385447522927,18.102800190741352
145,1.1985498659035487,2.7334170236566973,18.022830378929154,,,
146,1.266693543625213,2.7161603858182612,18.638186060591767,,,
147,1.2884897620966957,2.681798174948545,18.642221296533485,,,
148,,,,,,
149,1.4635706111497113,2.328852764266165,18.183252248974412,,,
150,1.5420508328486267,2.278260477306901,18.111724876281535,,,
151,1.6691606081724837,2.264731305203769,17.944835146479424,,,
152,1.7833215137682046,2.310738592903395,17.92289354538096,,,
153,2.0154295896962053,2.2404958989374375,17.69178436763825,,,
154,2.070558490488724,2.24337645052632,17.40780883116336,,,
155,2.1348115026486654,2.2950612492150078,17.20200756787773,,,
156,2.1526390687371033,2.4061790498377453,17.431807479799545,,,
157,2.1456509638204815,2.5276154592052564,17.65248496300299,,,
158,2.1178859882537036,2.7018453180317685,18.599684353485603,-1.0706251351206648,2.698328310891786,16.234687324615425
159,2.166182602443181,2.877857103698554,18.99414223806789,-1.1828768334866582,2.850093615220172,16.970224944517373
160,2.7342927319367134,3.2120740391380562,20.454297736494723,-0.9663380795297624,3.1850155651883454,18.10010105923573
161,3.1566443308192422,3.3234599831046827,20.761093149214595,-0.667378251567686,3.3711168667236193,18.51502170871476
162,3.7702595403192243,3.509474384137006,21.709449984484852,-0.18079656409436545,3.586662243937373,19.439027785190227
163,4.632423110456401,3.3546018782261813,20.226852498391438,0.9249374250387925,3.4526063194440657,18.224899476398438
164,5.098216137651124,3.2663164954401065,19.604244670672696,1.5323961908151424,3.3736658759390177,17.63982682398898
165,5.602047774488436,3.233134436786148,19.354154186199946,2.107654130919906,3.3572591682795094,17.376556654576877
166,6.2922249596840825,3.0670894150945904,18.495365760017933,3.1208088493266772,3.20834608101889,16.623028968602647
167,6.604558295180863,3.04798538562331,18.44707669611261,3.5368957833080197,3.1309901937030915,16.405059935025733
168,7.163999431746988,3.1286023168466133,18.901617281503004,4.100500042860279,3.164223953774039,16.742248322242208
169,7.536844641285044,3.191762435273103,19.333136302214,4.57428294052296,3.125619970508957,16.866492969997118
170,8.263941690610835,3.4606231103425222,20.901035701893502,5.216086407708139,3.410146616372428,18.389110679750164
171,8.813984875842271,3.576977111314239,20.945096592959533,5.842798063416163,3.416993459406755,18.440577128318587
172,9.291789620030189,3.822375143944567,21.348762476080573,6.368942238147862,3.5248621985755433,18.914582198549137
173,10.244726493108248,3.7574511297845916,21.39818644291684,7.565933721257784,3.5526496726404,19.219278413203252
174,10.921798929537108,3.76395019003107,21.56337994896531,8.615920049245249,3.6574070234304967,20.077162000207363
175,11.230644606942908,3.553425675716688,20.24878670627636,9.39480692074142,3.3547006536734023,18.50241585671589
176,11.479149670265237,3.3739390254239026,20.0015249337263,9.945791722264342,3.3082851355416465,18.67212793767132
177,,,,10.321015748992266,3.058789419187625,17.371079717002104
178,11.44435364451652,3.5097418728735144,19.709207711401934,10.584326642262976,2.817580883466085,16.631905641686448
179,11.313674731359685,3.416389651915012,19.572537984351932,10.67532338393408,2.6968804229427383,16.480205832057177
180,11.262522549824544,3.40737170373881,19.64260732340256,10.624888550432178,2.7026711944955886,16.499385215997595
181,11.155653089725284,3.425057228723114,20.191498609875765,10.59520533011903,2.6911141417017475,16.718360452211844
182,11.092878044138455,3.434836720304919,20.498594477214837,10.594142726016933,2.659553839454001,16.816877572879203
183,,,,10.5939508986877,2.763063779008149,17.61101610069868
184,,,,10.813286302288926,2.893230643426022,18.316520401812088
185,,,,10.964465449791515,3.095664393555048,18.891419906661046
186,,,,10.909771719443757,3.319440419057861,19.08974554591122
187,,,,10.860832486821455,3.4082842819803627,19.012004161743604
188,10.405649300982844,4.202036585153225,22.52293403165955,11.020111628544749,3.667951759921731,19.335156936386028
189,10.39599057985414,4.451710603987382,23.128429107550108,11.272482523045007,3.956322238631992,20.292609259930206
190,10.530985253379104,5.045713371385738,24.84905391592601,11.937393694183337,4.712129260925841,23.163298979323876
191,10.549098396998145,5.280848807796885,25.652755104795915,12.318237365757007,5.040906672461573,24.450299435755188
192,10.577083055946149,5.411071864489762,26.28203535000098,12.878337660712921,5.415725538660937,26.328069893420235
193,10.556234868499669,5.516877395372955,26.748710275784624,13.385819761879949,5.495916241750972,27.06528563271744
194,10.52060062544676,5.516703134609324,26.769653125456465,13.384916440286018,5.343400680042497,26.439013680856256
195,10.37853254693492,5.445539383226511,26.430026272502367,13.379097004940679,5.149088992410947,25.96334463313087
196,10.314405324371396,5.389621924834083,26.31229784972667,13.35201996033778,4.83966019160144,25.054302822266028
197,10.164951010328474,5.274300675044266,25.946883471533525,13.375230531495191,4.769085408174985,24.926321581801645
198,10.112095208541712,5.27004956837075,25.889372651331442,13.376618671656,4.726011451458291,24.786548463119786
199,10.045546325042407,5.272720640890131,25.894627326339467,13.387476016327462,4.723286680709368,24.78881375373968
200,9.927471720124466,5.228934097912564,25.782002638191557,13.2923572166922,4.687938135542433,24.61136917964792
201,9.814439926851158,5.152781418352508,25.53837956848149,13.219479945073305,4.638221850918854,24.42753389122281
202,9.124851904446395,4.658349915545224,23.81179792468688,12.382871701774823,4.226169317246267,22.807634058114697
203,8.71575412395098,4.33328409808956,22.71380678314496,11.885005915571398,3.9859839160616124,21.853451156236773
204,8.350611893715461,4.047309785562505,21.727400644048753,11.475238662523175,3.721143644496682,21.062947287352127
205,8.176283876227068,3.856298242824076,21.319007767806774,11.353397381547467,3.582163268297437,20.828891553739243
206,7.836152929962953,3.5589505169243036,21.141177005182087,11.07799209302901,3.2842807981961912,20.504350870864293
207,7.651231486102346,3.4001342564934145,21.017775051676292,11.019459331489925,3.1334833471738675,20.465251949667902
208,7.432380566409945,3.141803934658402,20.515671976403137,10.675040545679053,2.8669673048041195,19.751355526984643
209,7.298014009324508,2.9482248531722623,20.11889480274205,10.589192834905122,2.634855753523024,19.404415626693893
210,7.2259460141666105,2.727474174191953,19.859929525779584,10.39493809404474,2.4764205231003955,18.881823536226086
211,7.002643387313389,2.4351433049214495,19.196866359262078,,,
212,6.864043743305126,2.168200669174866,18.45584794207814,,,
213,6.713402786341407,1.8051150476463196,18.028438378134183,,,
214,6.658372513459506,1.5996954489793125,17.68845148628947,,,
215,6.585262905193963,1.3315353440629842,17.474518391244487,,,
216,6.363475096539158,1.3188949676138348,17.09884833407102,,,
217,6.301412823769406,1.2814605884054693,16.98580671803624,,,
218,6.381646321429464,1.2380286482405705,17.063224478260587,,,
219,6.3499234435260545,1.2515051010499194,17.3588328332916,,,
220,6.468645591017654,1.3418075653301818,17.679965205730387,,,
221,6.527866029625402,1.3588666065262895,17.875801732257777,,,
222,6.637104283255869,1.3870133420315105,17.755875314556892,,,
223,6.642839290665414,1.4465147634810407,17.78707376482434,,,
224,6.5928814477150315,1.5388922888717267,17.77821770227741,,,
225,6.61874687973578,1.6355599406868102,17.67037829276785,,,
226,6.564939369425287,1.7087876523558214,17.974312477478623,,,
227,6.686091143152351,1.738258831977955,18.341963813375447,,,
228,6.7126246426811305,1.9053542391005984,18.26852605606421,,,
229,6.797713828111976,1.914493067750365,18.13556545091503,,,
230,6.83756788489507,1.9309734313026767,18.2660362476192,10.376715749504084,1.6810964499416952,17.224726095799955
231,6.864801218771291,1.9876269713636237,18.317233034456432,,,
232,6.864509421442053,1.9889222241458278,18.24740154226671,,,
233,6.933017521693038,2.0812799655314747,18.336465656783243,10.54176571886469,1.8804888459352773,17.534322074987166
234,6.977764029109277,2.073210138699921,18.47233237956036,10.607626943451669,1.8746651347561747,17.61367587157719
235,7.042887274171505,2.120469077124814,18.681963081764636,10.76454990153392,1.8923702836979206,17.839893218153428
236,7.075996222950105,2.1204493345926116,18.773008583798664,,,
237,7.109442403462637,2.1072972835128145,18.86497448189362,,,
238,7.094409711229222,2.181369146399596,18.795669014784945,10.818106036498369,1.912899591097218,17.67948051638268
239,,,,10.773345322000155,1.9370864565882728,17.413028867665446
240,,,,,,
241,7.255931052035029,2.0593848814437563,17.63949277712474,,,
242,7.227878176411801,2.1224682385064497,17.566086754535895,,,
243,7.254937151390477,2.136312589667545,17.806456217786216,,,
244,7.276894011159416,2.1838363914452636,18.020152834513862,10.749863998951156,1.9920316595598853,17.500483440357232
245,7.251249832712452,2.287944472788805,18.614361341539514,10.824037179621715,2.021021095554006,17.762226099292874
246,7.201420962009882,2.3478230967897424,19.021385142686842,10.809655605552217,2.079674783883749,17.95555121734679
247,7.228998741652215,2.3792429243552897,19.054373371494837,10.800289528994629,2.070792810983421,17.892360329086763
248,7.206563129771888,2.347971240094904,18.90182022360364,10.774633508867915,2.006958465328812,17.491069735113307
249,,,,,,
250,7.474988979115705,2.223121816400994,17.95832643864014,10.64905919725956,1.9508423312611096,16.943952201414163
251,7.507020974432657,2.248350928852273,17.99794007394541,10.63691434281976,1.9617977232473907,16.899805458667988
252,7.534650114726006,2.354086220800217,18.070311257375064,10.618440320853182,1.9669540771295062,16.90242061979794
253,7.6486685642392125,2.3113384178074172,18.369939963802103,,,
254,7.690756790288048,2.337905684374007,18.492557694344285,10.824918735472114,2.0185532844121767,17.227764840758137
255,7.651763709540271,2.4600347711090147,18.68228447706726,10.836696528770792,2.0023413130942926,17.255397708300695
256,7.698090266492473,2.456192841250557,18.448812253437207,,,
257,7.6831957783807905,2.4681225726177294,18.375450694206382,,,
258,7.697590947278898,2.378470112130844,18.20795311296187,10.939035281619603,2.0343310090366544,17.020160650305307
259,7.702644026063234,2.46400042602772,18.16429555131069,11.156210307586154,2.1070310994534727,17.341358220919567
260,8.174254579154018,2.5699943098518134,18.98029479156627,,,
261,8.372974901389007,2.6247875797558087,19.388168378118415,,,
262,8.538852458629316,2.653661896165626,19.71758943613871,,,
263,8.703737020543121,2.6559039541861185,20.090900654014504,,,
264,9.175436909334975,2.5943328498194718,19.640079574322055,,,
265,9.31240659180059,2.5187400304825545,19.05518111563586,,,
266,,,,,,
267,9.882517008451526,2.444123587551374,18.29523908737493,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,14.14131686321743,3.769038459704229,18.285154505064277,,,
352,14.198619362431263,4.035096054233651,19.327774901764503,,,
353,14.224580781163532,4.194882340654629,19.856102058917923,,,
354,13.697002982139518,4.008390108061589,19.639704347629745,,,
355,13.848422548406665,4.2333977650427155,20.775455732532322,14.166042337243372,4.859323657359417,21.52496550511424
356,,,,,,
357,14.796474159944813,5.1134161523769865,23.962418927727587,13.771209923834391,4.5985003117886185,19.268130036337386
358,14.915498284407398,5.250135270821809,24.479176947828368,13.987193425508716,4.719111923125034,19.852899236910904
359,14.682294636834778,5.215112999343421,24.388762388813277,13.941951866490236,4.748063085485573,19.980629899026226
360,14.74402930122675,5.518172893380505,25.165304179287425,13.79907653743341,4.852662687637014,20.460889973620425
361,14.600465360727757,5.534920675562772,25.261013105384695,13.618805506864868,4.871226083824741,20.41935367516639
362,14.511605704032412,5.5587435575967845,25.81959007930074,13.182620996195023,4.859326656700054,20.139938435865645
363,14.527233564308812,5.5812411514512625,26.148033839070944,12.845567843538984,4.847079407888339,19.916533856529266
364,14.469687418556314,5.577654399505921,26.413116771729516,12.13627187281009,4.943810021393404,20.103465487235034
365,14.441783348531555,5.668774907776956,27.021674863322907,11.84217391806507,4.938617529714297,19.94149784144312
366,14.005610345207899,5.475349433652137,26.427995939181944,11.167382349435762,4.598614389645092,18.800312243447234
367,13.752058837429288,5.426321451069881,26.394616472967495,10.832385547125778,4.4847743796560415,18.387541428691822
368,13.102693913486041,5.296705597376986,25.546575530859496,10.22949889678578,4.284222636867285,17.58367113846726
369,12.745883560513057,5.1903557601389645,24.914416927798364,9.981623419928075,4.23175696812353,17.362936990982433
370,12.328077302709056,4.987160946540433,24.05444441612799,9.626249082623003,4.098499626526084,16.971793447980374
371,11.56315887771244,4.305254234984681,21.579344843213725,9.02678665609309,3.8568301609336073,16.22155184110602
372,10.924113329546914,3.760384536350904,19.534013865520823,8.404285037604398,3.7163149916000524,15.977757228101
373,10.622738987620137,3.6229084294854346,18.768755091748698,8.202199562816338,3.648804416065227,15.860033829906984
374,10.490179836475882,3.265886364363962,17.83306803184016,7.850149483867791,3.608426348662714,16.37420593408414
375,10.256428875430812,3.1110244793672743,17.41664555274015,7.659479891874074,3.5348542396090834,16.266835440938937
376,9.853666782760206,2.867953301407123,16.737745757541905,7.366320765860917,3.404265711408684,15.932382512161071
377,9.42478623872136,2.633645814787975,15.993089783234003,7.073904858675234,3.245723455962704,15.563926813731477
378,9.22673541688508,2.481685087613471,15.709064346799414,6.881936798742703,3.150664114409061,15.451167810649668
379,8.834546935995595,2.1972748241308344,15.06078873981297,6.4997257670462645,2.9985506360665672,15.473685257710423
380,8.447135482849907,1.9886886458248367,14.468230932730103,6.299939574603197,2.880715514343313,15.393337150181672
381,,,,6.1302913177844385,2.881689720586454,15.61275986765861
382,8.100713351686194,1.7829589625802074,14.073835238943287,5.9948271077378115,2.809527089321527,15.413851774994654
383,7.900353926581367,1.6982299997329815,13.806803979661844,5.873864668186642,2.7672762985958634,15.453571937611061
384,,,,5.487503318424787,2.6441221892955094,15.755919426081823
385,7.077677769937255,1.3550306700166002,13.082068968362998,5.222669839860245,2.4905483571289118,15.275025494045236
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,3.5687787459239333,1.620861283910606,15.009861524502245,,,
399,,,,,,
